X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
X;D;D;D;D;D;D;D;D;D;X;X;;;R;R;;;X;D;D;D;D;D;X
X;D;D;D;D;D;D;D;D;D;X;X;;R;R;R;R;;X;D;D;D;D;D;X
X;D;D;D;D;D;D;D;D;D;X;X;R;R;V;V;R;R;X;D;D;D;D;D;X
X;D;D;D;D;D;D;D;D;D;X;D;D;D;D;D;D;E;X;D;D;D;D;D;X
X;D;D;D;D;D;D;D;D;D;X;R;X;X;X;X;X;X;X;D;D;D;D;D;X
X;D;D;D;D;D;D;D;D;D;X;D;X;D;D;D;D;D;D;D;D;D;D;D;X
X;D;D;D;D;D;D;D;D;D;X;D;X;X;D;D;D;D;D;D;D;D;D;D;X
X;D;D;D;D;D;D;D;D;D;X;D;V;X;D;D;D;D;D;D;D;D;D;D;X
X;D;D;D;D;D;D;D;D;D;X;D;X;X;D;D;D;D;D;D;D;D;D;D;X
X;D;D;D;D;D;D;D;D;D;X;D;X;D;D;D;D;D;D;D;D;D;D;D;X
X;D;D;D;D;D;D;D;D;D;X;D;X;D;D;D;D;D;D;D;D;D;D;D;X
X;D;D;D;D;D;D;D;D;D;X;D;X;D;D;D;D;D;D;D;D;D;D;D;X
X;D;D;D;D;D;D;D;D;D;X;D;X;D;D;D;D;D;D;D;D;D;D;D;X
X;D;D;D;D;D;D;D;D;D;X;D;X;D;D;D;D;D;D;D;D;D;D;D;X
X;D;D;D;D;D;D;D;D;D;X;D;X;D;D;D;D;D;D;D;D;D;D;D;X
X;D;D;D;D;D;D;D;D;D;X;D;X;D;D;D;D;D;D;D;D;D;D;D;X
X;D;D;D;D;D;D;D;D;D;X;D;X;D;D;D;D;D;D;D;D;D;D;D;X
X;D;D;D;D;D;D;D;D;D;X;D;X;D;D;D;D;D;D;D;D;D;D;D;X
X;D;D;D;D;D;D;D;D;D;X;D;X;D;D;D;D;D;D;D;D;D;D;D;X
X;D;D;D;D;D;D;D;D;D;X;D;X;D;D;D;D;D;D;D;D;D;D;D;X
X;D;D;D;D;D;D;D;D;D;X;D;X;D;D;D;D;D;D;D;D;D;D;D;X
X;D;D;D;D;D;D;D;D;D;X;D;X;D;D;D;D;D;D;D;D;D;D;D;X
X;D;D;D;D;D;D;D;D;D;X;D;X;D;D;D;D;D;D;D;D;D;D;D;X
X;D;D;D;D;D;D;D;D;D;X;D;X;D;D;D;D;D;D;D;D;D;D;D;X
X;D;D;D;D;D;D;D;D;D;X;D;X;D;D;D;D;D;D;D;D;D;D;D;X
X;D;D;D;D;D;D;D;D;D;X;H;X;D;D;D;D;D;D;D;D;D;D;D;X
X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
